Area Code,Area Name,Geography type,Year,Index level,Indicator/grouping name,Index value,parents
E06000043,Brighton and Hove,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,109.0,E12000008
E06000044,Portsmouth,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,99.0,E12000008
E06000045,Southampton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,104.7,E12000008
E06000046,Isle of Wight,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,79.7,E12000008
E06000047,County Durham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,84.7,E12000001
E06000049,Cheshire East,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,85.6,E12000002
E06000050,Cheshire West and Chester,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,87.0,E12000002
E06000051,Shropshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,80.1,E12000005
E06000052,Cornwall,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,85.2,E12000009
E06000054,Wiltshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,87.2,E12000009
E06000055,Bedford,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.7,E12000006
E06000056,Central Bedfordshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,98.5,E12000006
E06000057,Northumberland,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,75.2,E12000001
E06000058,"Bournemouth, Christchurch and Poole",Upper Tier Local Authority,2018,Subdomain,Physical health conditions,84.1,E12000009
E06000059,Dorset,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,72.2,E12000009
E06000060,Buckinghamshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,97.0,E12000008
E08000001,Bolton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.2,E12000002
E08000002,Bury,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,92.3,E12000002
E08000003,Manchester,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.4,E12000002
E08000004,Oldham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.5,E12000002
E08000005,Rochdale,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,92.4,E12000002
E08000006,Salford,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,100.8,E12000002
E08000007,Stockport,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,88.2,E12000002
E08000008,Tameside,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,91.3,E12000002
E08000009,Trafford,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,87.4,E12000002
E08000010,Wigan,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,87.4,E12000002
E08000011,Knowsley,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,88.3,E12000002
E08000012,Liverpool,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,91.8,E12000002
E08000013,St. Helens,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,85.3,E12000002
E08000014,Sefton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,81.4,E12000002
E08000015,Wirral,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,82.8,E12000002
E08000016,Barnsley,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,91.7,E12000003
E08000017,Doncaster,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,89.5,E12000003
E08000018,Rotherham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,88.3,E12000003
E08000019,Sheffield,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,93.3,E12000003
E08000021,Newcastle upon Tyne,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,97.7,E12000001
E08000022,North Tyneside,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,81.8,E12000001
E08000023,South Tyneside,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,83.0,E12000001
E08000024,Sunderland,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,85.6,E12000001
E08000025,Birmingham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,103.4,E12000005
E08000026,Coventry,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,103.0,E12000005
E08000027,Dudley,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.0,E12000005
E08000028,Sandwell,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,97.9,E12000005
E08000029,Solihull,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,93.9,E12000005
E08000030,Walsall,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,90.7,E12000005
E08000031,Wolverhampton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,96.3,E12000005
E08000032,Bradford,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.9,E12000003
E08000033,Calderdale,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,91.8,E12000003
E08000034,Kirklees,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.7,E12000003
E08000035,Leeds,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,99.7,E12000003
E08000036,Wakefield,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,90.2,E12000003
E08000037,Gateshead,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,80.8,E12000001
E09000002,Barking and Dagenham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,112.8,E12000007
E09000003,Barnet,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,103.0,E12000007
E09000004,Bexley,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,103.5,E12000007
E09000005,Brent,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,112.6,E12000007
E09000006,Bromley,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,98.9,E12000007
E09000007,Camden,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,114.4,E12000007
E09000008,Croydon,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.9,E12000007
E09000009,Ealing,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,112.5,E12000007
E09000010,Enfield,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,106.3,E12000007
E09000011,Greenwich,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,113.9,E12000007
E09000012,Hackney,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,119.5,E12000007
E09000013,Hammersmith and Fulham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,118.5,E12000007
E09000014,Haringey,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,113.6,E12000007
E09000015,Harrow,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,103.5,E12000007
E09000016,Havering,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,98.8,E12000007
E09000017,Hillingdon,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.7,E12000007
E09000018,Hounslow,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,114.0,E12000007
E09000019,Islington,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,115.4,E12000007
E09000020,Kensington and Chelsea,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,117.4,E12000007
E09000021,Kingston upon Thames,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,109.7,E12000007
E09000022,Lambeth,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,117.9,E12000007
E09000023,Lewisham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,113.7,E12000007
E09000024,Merton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,111.4,E12000007
E09000025,Newham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,120.4,E12000007
E09000026,Redbridge,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,111.4,E12000007
E09000027,Richmond upon Thames,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,108.0,E12000007
E09000028,Southwark,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,118.2,E12000007
E09000029,Sutton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,98.1,E12000007
E09000030,Tower Hamlets,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,120.8,E12000007
E09000031,Waltham Forest,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,113.3,E12000007
E09000032,Wandsworth,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,117.6,E12000007
E09000033,Westminster,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,118.4,E12000007
E10000003,Cambridgeshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,98.0,unk
E10000006,Cumbria,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,80.8,unk
E10000007,Derbyshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,84.6,unk
E10000008,Devon,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,83.2,unk
E10000011,East Sussex,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,81.3,unk
E10000012,Essex,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,93.7,unk
E10000013,Gloucestershire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.2,unk
E10000014,Hampshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,87.3,unk
E10000015,Hertfordshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,99.1,unk
E10000016,Kent,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,92.4,unk
E10000017,Lancashire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.9,unk
E10000018,Leicestershire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,92.3,unk
E10000019,Lincolnshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,79.9,unk
E10000020,Norfolk,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.8,unk
E10000021,Northamptonshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.0,unk
E10000023,North Yorkshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,81.1,unk
E10000024,Nottinghamshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,87.6,unk
E10000025,Oxfordshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.9,unk
E10000027,Somerset,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,83.2,unk
E10000028,Staffordshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,89.1,unk
E10000029,Suffolk,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,85.4,unk
E10000030,Surrey,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.1,unk
E10000031,Warwickshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,90.2,unk
E10000032,West Sussex,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.8,unk
E10000034,Worcestershire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,83.2,unk
