Area Code,Area Name,Geography type,Year,Index level,Indicator/grouping name,Index value,parents
E06000060,Buckinghamshire,Upper Tier Local Authority,2018,Subdomain,Mental health,101.6,E12000008
E08000001,Bolton,Upper Tier Local Authority,2018,Subdomain,Mental health,91.1,E12000002
E08000002,Bury,Upper Tier Local Authority,2018,Subdomain,Mental health,99.4,E12000002
E08000003,Manchester,Upper Tier Local Authority,2018,Subdomain,Mental health,96.8,E12000002
E08000004,Oldham,Upper Tier Local Authority,2018,Subdomain,Mental health,94.8,E12000002
E08000005,Rochdale,Upper Tier Local Authority,2018,Subdomain,Mental health,82.8,E12000002
E08000006,Salford,Upper Tier Local Authority,2018,Subdomain,Mental health,85.1,E12000002
E08000007,Stockport,Upper Tier Local Authority,2018,Subdomain,Mental health,88.7,E12000002
E08000008,Tameside,Upper Tier Local Authority,2018,Subdomain,Mental health,85.3,E12000002
E08000009,Trafford,Upper Tier Local Authority,2018,Subdomain,Mental health,97.6,E12000002
E08000010,Wigan,Upper Tier Local Authority,2018,Subdomain,Mental health,81.1,E12000002
E08000011,Knowsley,Upper Tier Local Authority,2018,Subdomain,Mental health,76.6,E12000002
E08000012,Liverpool,Upper Tier Local Authority,2018,Subdomain,Mental health,88.2,E12000002
E08000013,St. Helens,Upper Tier Local Authority,2018,Subdomain,Mental health,70.3,E12000002
E08000014,Sefton,Upper Tier Local Authority,2018,Subdomain,Mental health,83.6,E12000002
E08000015,Wirral,Upper Tier Local Authority,2018,Subdomain,Mental health,81.5,E12000002
E08000016,Barnsley,Upper Tier Local Authority,2018,Subdomain,Mental health,86.2,E12000003
E08000017,Doncaster,Upper Tier Local Authority,2018,Subdomain,Mental health,89.9,E12000003
E08000018,Rotherham,Upper Tier Local Authority,2018,Subdomain,Mental health,87.4,E12000003
E08000019,Sheffield,Upper Tier Local Authority,2018,Subdomain,Mental health,99.4,E12000003
E08000021,Newcastle upon Tyne,Upper Tier Local Authority,2018,Subdomain,Mental health,91.5,E12000001
E08000022,North Tyneside,Upper Tier Local Authority,2018,Subdomain,Mental health,79.6,E12000001
E08000023,South Tyneside,Upper Tier Local Authority,2018,Subdomain,Mental health,87.6,E12000001
E08000024,Sunderland,Upper Tier Local Authority,2018,Subdomain,Mental health,92.1,E12000001
E08000025,Birmingham,Upper Tier Local Authority,2018,Subdomain,Mental health,99.9,E12000005
E08000026,Coventry,Upper Tier Local Authority,2018,Subdomain,Mental health,97.1,E12000005
E08000027,Dudley,Upper Tier Local Authority,2018,Subdomain,Mental health,92.5,E12000005
E08000028,Sandwell,Upper Tier Local Authority,2018,Subdomain,Mental health,98.5,E12000005
E08000029,Solihull,Upper Tier Local Authority,2018,Subdomain,Mental health,92.7,E12000005
E08000030,Walsall,Upper Tier Local Authority,2018,Subdomain,Mental health,97.0,E12000005
E08000031,Wolverhampton,Upper Tier Local Authority,2018,Subdomain,Mental health,94.9,E12000005
E08000032,Bradford,Upper Tier Local Authority,2018,Subdomain,Mental health,91.4,E12000003
E08000033,Calderdale,Upper Tier Local Authority,2018,Subdomain,Mental health,88.1,E12000003
E08000034,Kirklees,Upper Tier Local Authority,2018,Subdomain,Mental health,94.8,E12000003
E08000035,Leeds,Upper Tier Local Authority,2018,Subdomain,Mental health,93.2,E12000003
E08000036,Wakefield,Upper Tier Local Authority,2018,Subdomain,Mental health,91.3,E12000003
E08000037,Gateshead,Upper Tier Local Authority,2018,Subdomain,Mental health,89.1,E12000001
E09000002,Barking and Dagenham,Upper Tier Local Authority,2018,Subdomain,Mental health,119.5,E12000007
E09000003,Barnet,Upper Tier Local Authority,2018,Subdomain,Mental health,113.8,E12000007
E09000004,Bexley,Upper Tier Local Authority,2018,Subdomain,Mental health,112.6,E12000007
E09000005,Brent,Upper Tier Local Authority,2018,Subdomain,Mental health,119.3,E12000007
E09000006,Bromley,Upper Tier Local Authority,2018,Subdomain,Mental health,111.4,E12000007
E09000007,Camden,Upper Tier Local Authority,2018,Subdomain,Mental health,108.4,E12000007
E09000008,Croydon,Upper Tier Local Authority,2018,Subdomain,Mental health,109.2,E12000007
E09000009,Ealing,Upper Tier Local Authority,2018,Subdomain,Mental health,113.0,E12000007
E09000010,Enfield,Upper Tier Local Authority,2018,Subdomain,Mental health,115.2,E12000007
E09000011,Greenwich,Upper Tier Local Authority,2018,Subdomain,Mental health,116.1,E12000007
E09000012,Hackney,Upper Tier Local Authority,2018,Subdomain,Mental health,106.1,E12000007
E09000013,Hammersmith and Fulham,Upper Tier Local Authority,2018,Subdomain,Mental health,112.2,E12000007
E09000014,Haringey,Upper Tier Local Authority,2018,Subdomain,Mental health,113.4,E12000007
E09000015,Harrow,Upper Tier Local Authority,2018,Subdomain,Mental health,117.8,E12000007
E09000016,Havering,Upper Tier Local Authority,2018,Subdomain,Mental health,110.6,E12000007
E09000017,Hillingdon,Upper Tier Local Authority,2018,Subdomain,Mental health,109.4,E12000007
E09000018,Hounslow,Upper Tier Local Authority,2018,Subdomain,Mental health,109.0,E12000007
E09000019,Islington,Upper Tier Local Authority,2018,Subdomain,Mental health,104.4,E12000007
E09000020,Kensington and Chelsea,Upper Tier Local Authority,2018,Subdomain,Mental health,110.1,E12000007
E09000021,Kingston upon Thames,Upper Tier Local Authority,2018,Subdomain,Mental health,105.9,E12000007
E09000022,Lambeth,Upper Tier Local Authority,2018,Subdomain,Mental health,111.7,E12000007
E09000023,Lewisham,Upper Tier Local Authority,2018,Subdomain,Mental health,107.5,E12000007
E09000024,Merton,Upper Tier Local Authority,2018,Subdomain,Mental health,108.4,E12000007
E09000025,Newham,Upper Tier Local Authority,2018,Subdomain,Mental health,119.1,E12000007
E09000026,Redbridge,Upper Tier Local Authority,2018,Subdomain,Mental health,121.3,E12000007
E09000027,Richmond upon Thames,Upper Tier Local Authority,2018,Subdomain,Mental health,108.3,E12000007
E09000028,Southwark,Upper Tier Local Authority,2018,Subdomain,Mental health,109.7,E12000007
E09000029,Sutton,Upper Tier Local Authority,2018,Subdomain,Mental health,102.6,E12000007
E09000030,Tower Hamlets,Upper Tier Local Authority,2018,Subdomain,Mental health,111.5,E12000007
E09000031,Waltham Forest,Upper Tier Local Authority,2018,Subdomain,Mental health,114.8,E12000007
E09000032,Wandsworth,Upper Tier Local Authority,2018,Subdomain,Mental health,110.6,E12000007
E09000033,Westminster,Upper Tier Local Authority,2018,Subdomain,Mental health,121.9,E12000007
E10000003,Cambridgeshire,Upper Tier Local Authority,2018,Subdomain,Mental health,96.1,unk
E10000006,Cumbria,Upper Tier Local Authority,2018,Subdomain,Mental health,86.9,unk
E10000007,Derbyshire,Upper Tier Local Authority,2018,Subdomain,Mental health,90.7,unk
E10000008,Devon,Upper Tier Local Authority,2018,Subdomain,Mental health,93.0,unk
E10000011,East Sussex,Upper Tier Local Authority,2018,Subdomain,Mental health,84.1,unk
E10000012,Essex,Upper Tier Local Authority,2018,Subdomain,Mental health,96.6,unk
E10000013,Gloucestershire,Upper Tier Local Authority,2018,Subdomain,Mental health,94.6,unk
E10000014,Hampshire,Upper Tier Local Authority,2018,Subdomain,Mental health,92.8,unk
E10000015,Hertfordshire,Upper Tier Local Authority,2018,Subdomain,Mental health,105.2,unk
E10000016,Kent,Upper Tier Local Authority,2018,Subdomain,Mental health,95.4,unk
E10000017,Lancashire,Upper Tier Local Authority,2018,Subdomain,Mental health,88.8,unk
E10000018,Leicestershire,Upper Tier Local Authority,2018,Subdomain,Mental health,100.6,unk
E10000019,Lincolnshire,Upper Tier Local Authority,2018,Subdomain,Mental health,96.5,unk
E10000020,Norfolk,Upper Tier Local Authority,2018,Subdomain,Mental health,96.5,unk
E10000021,Northamptonshire,Upper Tier Local Authority,2018,Subdomain,Mental health,84.3,unk
E10000023,North Yorkshire,Upper Tier Local Authority,2018,Subdomain,Mental health,94.0,unk
E10000024,Nottinghamshire,Upper Tier Local Authority,2018,Subdomain,Mental health,99.2,unk
E10000025,Oxfordshire,Upper Tier Local Authority,2018,Subdomain,Mental health,97.5,unk
E10000027,Somerset,Upper Tier Local Authority,2018,Subdomain,Mental health,81.2,unk
E10000028,Staffordshire,Upper Tier Local Authority,2018,Subdomain,Mental health,90.8,unk
E10000029,Suffolk,Upper Tier Local Authority,2018,Subdomain,Mental health,93.6,unk
E10000030,Surrey,Upper Tier Local Authority,2018,Subdomain,Mental health,101.8,unk
E10000031,Warwickshire,Upper Tier Local Authority,2018,Subdomain,Mental health,96.4,unk
E10000032,West Sussex,Upper Tier Local Authority,2018,Subdomain,Mental health,94.2,unk
E10000034,Worcestershire,Upper Tier Local Authority,2018,Subdomain,Mental health,93.0,unk
